Wall time,Step,Value
1614200917.518716,0,0.3229166567325592
1614200917.57631,1,0.3645833432674408
1614200917.640091,2,0.40625
1614200917.703622,3,0.2708333432674408
1614200917.765542,4,0.3958333432674408
1614200917.82773,5,0.4375
1614200917.8898003,6,0.5104166865348816
1614200917.950406,7,0.53125
1614200918.00725,8,0.53125
1614200918.062099,9,0.5
1614200918.119325,10,0.5729166865348816
1614200918.176183,11,0.5416666865348816
1614200918.230975,12,0.59375
1614200918.291081,13,0.6458333134651184
1614200918.349437,14,0.65625
1614200918.40648,15,0.59375
1614200918.463291,16,0.6458333134651184
1614200918.519734,17,0.59375
1614200918.573366,18,0.625
1614200918.630155,19,0.5416666865348816
1614200918.693571,20,0.6666666865348816
1614200918.759793,21,0.625
1614200918.821963,22,0.6354166865348816
1614200918.883193,23,0.59375
1614200918.94836,24,0.6458333134651184
1614200919.01314,25,0.6354166865348816
1614200919.076026,26,0.6770833134651184
1614200919.135132,27,0.6770833134651184
1614200919.196185,28,0.6041666865348816
1614200919.272595,29,0.6875
1614200919.35351,30,0.6354166865348816
1614200919.416686,31,0.6875
1614200919.479656,32,0.59375
1614200919.542602,33,0.6770833134651184
1614200919.60647,34,0.6458333134651184
1614200919.671661,35,0.6458333134651184
1614200919.740117,36,0.625
1614200919.805209,37,0.65625
1614200919.871465,38,0.6875
1614200919.937524,39,0.65625
1614200920.003318,40,0.6354166865348816
1614200920.06767,41,0.6458333134651184
1614200920.130262,42,0.6770833134651184
1614200920.1957812,43,0.59375
1614200920.260396,44,0.75
1614200920.327401,45,0.6770833134651184
1614200920.395834,46,0.6875
1614200920.465061,47,0.71875
1614200920.5281112,48,0.6770833134651184
1614200920.593123,49,0.6666666865348816
1614200920.6589582,50,0.6770833134651184
1614200920.729106,51,0.6666666865348816
1614200920.794353,52,0.625
1614200920.863379,53,0.71875
1614200920.928161,54,0.6875
1614200920.999535,55,0.7083333134651184
1614200921.062772,56,0.6770833134651184
1614200921.120782,57,0.7083333134651184
1614200921.179726,58,0.6979166865348816
1614200921.2375,59,0.6770833134651184
1614200921.2984977,60,0.6979166865348816
1614200921.369763,61,0.7083333134651184
1614200921.43597,62,0.7291666865348816
1614200921.499218,63,0.71875
1614200921.564581,64,0.7395833134651184
1614200921.628663,65,0.6770833134651184
1614200921.695482,66,0.71875
1614200921.814838,67,0.6666666865348816
1614200921.902674,68,0.7083333134651184
1614200922.0189528,69,0.71875
1614200922.089999,70,0.7604166865348816
1614200922.166565,71,0.7083333134651184
1614200922.233137,72,0.7083333134651184
1614200922.298341,73,0.7291666865348816
1614200922.370366,74,0.6458333134651184
1614200922.436002,75,0.6979166865348816
1614200922.500393,76,0.7083333134651184
1614200922.564777,77,0.75
1614200922.640054,78,0.7395833134651184
1614200922.70372,79,0.6979166865348816
1614200922.777197,80,0.75
1614200922.842669,81,0.7395833134651184
1614200922.909627,82,0.7604166865348816
1614200922.975349,83,0.7395833134651184
1614200923.042625,84,0.6979166865348816
1614200923.105286,85,0.71875
1614200923.167234,86,0.7395833134651184
1614200923.231897,87,0.7083333134651184
1614200923.29634,88,0.7083333134651184
1614200923.368623,89,0.71875
1614200923.4516218,90,0.7708333134651184
1614200923.518545,91,0.7395833134651184
1614200923.58277,92,0.7395833134651184
1614200923.654311,93,0.7708333134651184
1614200923.710991,94,0.7291666865348816
1614200923.768727,95,0.8229166865348816
1614200923.8252742,96,0.8020833134651184
1614200923.882431,97,0.7291666865348816
1614200923.94953,98,0.78125
1614200924.017455,99,0.7604166865348816
1614200924.087712,100,0.7916666865348816
1614200924.1518898,101,0.7291666865348816
1614200924.218674,102,0.78125
1614200924.284739,103,0.7708333134651184
1614200924.348769,104,0.7916666865348816
1614200924.443599,105,0.78125
1614200924.52253,106,0.7708333134651184
1614200924.596372,107,0.7708333134651184
1614200924.67079,108,0.8125
1614200924.7619042,109,0.7291666865348816
1614200924.826413,110,0.8333333134651184
1614200924.892424,111,0.78125
1614200924.955667,112,0.7604166865348816
1614200925.0157871,113,0.7291666865348816
1614200925.074742,114,0.7708333134651184
1614200925.131768,115,0.78125
1614200925.19632,116,0.7708333134651184
1614200925.255956,117,0.8229166865348816
1614200925.314516,118,0.78125
1614200925.3830478,119,0.875
1614200925.450998,120,0.8125
1614200925.518175,121,0.8229166865348816
1614200925.593021,122,0.8229166865348816
1614200925.6535912,123,0.8125
1614200925.718069,124,0.8333333134651184
1614200925.78624,125,0.8020833134651184
1614200925.851183,126,0.75
