Wall time,Step,Value
1614648601.251275,0,0.3125
1614648602.452748,1,0.34375
1614648603.645415,2,0.34375
1614648604.846457,3,0.34375
1614648606.057945,4,0.34375
1614648607.265013,5,0.34375
1614648608.462933,6,0.34375
1614648609.669601,7,0.34375
1614648610.86994,8,0.34375
1614648612.065107,9,0.34375
1614648613.258922,10,0.34375
1614648614.458026,11,0.34375
1614648615.6484668,12,0.3541666567325592
1614648616.858263,13,0.375
1614648618.068182,14,0.4583333432674408
1614648619.275952,15,0.4375
1614648620.484254,16,0.4479166567325592
1614648621.680059,17,0.4479166567325592
1614648622.884951,18,0.4479166567325592
1614648624.091778,19,0.5520833134651184
1614648625.300891,20,0.4895833432674408
1614648626.504904,21,0.5520833134651184
1614648627.713093,22,0.5729166865348816
1614648628.919554,23,0.5625
1614648630.127603,24,0.6145833134651184
1614648631.329443,25,0.5833333134651184
1614648632.530888,26,0.625
1614648633.757054,27,0.5833333134651184
1614648634.968392,28,0.6458333134651184
1614648636.185574,29,0.6145833134651184
1614648637.396241,30,0.59375
1614648638.599485,31,0.59375
1614648639.807963,32,0.6041666865348816
1614648641.01952,33,0.6041666865348816
1614648642.226405,34,0.6770833134651184
1614648643.427622,35,0.65625
1614648644.637902,36,0.6145833134651184
1614648645.844574,37,0.6354166865348816
1614648647.04962,38,0.65625
1614648648.257431,39,0.6458333134651184
1614648649.462804,40,0.6458333134651184
1614648650.658179,41,0.6354166865348816
1614648651.867808,42,0.6458333134651184
1614648653.071068,43,0.6666666865348816
1614648654.269732,44,0.6145833134651184
1614648655.465789,45,0.6354166865348816
1614648656.669812,46,0.5729166865348816
1614648657.87563,47,0.7083333134651184
1614648659.077955,48,0.5833333134651184
1614648660.294385,49,0.625
1614648661.49007,50,0.625
1614648662.68765,51,0.6354166865348816
1614648663.896872,52,0.65625
1614648665.100896,53,0.625
1614648666.305122,54,0.6770833134651184
1614648667.499048,55,0.6458333134651184
1614648668.699581,56,0.5833333134651184
1614648669.903231,57,0.6666666865348816
1614648671.106611,58,0.6145833134651184
1614648672.304204,59,0.6458333134651184
1614648673.50049,60,0.6354166865348816
1614648674.705757,61,0.6770833134651184
1614648675.918556,62,0.6666666865348816
1614648677.113811,63,0.625
1614648678.325577,64,0.65625
1614648679.514059,65,0.6458333134651184
1614648680.720581,66,0.6770833134651184
1614648681.924927,67,0.6666666865348816
1614648683.118972,68,0.6770833134651184
1614648684.322433,69,0.6666666865348816
1614648685.520338,70,0.6770833134651184
1614648686.729076,71,0.6458333134651184
1614648687.932448,72,0.6354166865348816
1614648689.1479013,73,0.6458333134651184
1614648690.366601,74,0.65625
1614648691.55929,75,0.6041666865348816
1614648692.766856,76,0.6770833134651184
1614648693.963952,77,0.6666666865348816
1614648695.165521,78,0.6458333134651184
1614648696.363783,79,0.625
1614648697.569853,80,0.6875
1614648698.774683,81,0.6666666865348816
1614648699.982444,82,0.6770833134651184
1614648701.179644,83,0.6770833134651184
1614648702.383244,84,0.6458333134651184
1614648703.593488,85,0.65625
1614648704.791184,86,0.71875
1614648706.000923,87,0.6875
1614648707.209064,88,0.6770833134651184
1614648708.421996,89,0.6458333134651184
1614648709.634875,90,0.6458333134651184
1614648710.855743,91,0.6875
1614648712.056911,92,0.6875
1614648713.256099,93,0.6666666865348816
1614648714.46103,94,0.6875
1614648715.669488,95,0.7083333134651184
1614648716.887676,96,0.65625
1614648718.088434,97,0.71875
1614648719.292043,98,0.71875
1614648720.505578,99,0.6666666865348816
1614648721.715783,100,0.6458333134651184
1614648722.921557,101,0.6458333134651184
1614648724.123138,102,0.6458333134651184
1614648725.345502,103,0.6666666865348816
1614648726.552806,104,0.6875
1614648727.757407,105,0.6145833134651184
1614648728.964075,106,0.6145833134651184
1614648730.155244,107,0.6875
1614648731.357298,108,0.7083333134651184
1614648732.562098,109,0.6770833134651184
1614648733.7581267,110,0.6875
1614648734.97462,111,0.65625
1614648736.18715,112,0.7083333134651184
1614648737.39772,113,0.6666666865348816
1614648738.607205,114,0.6979166865348816
1614648739.81217,115,0.6979166865348816
1614648741.025583,116,0.71875
1614648742.23589,117,0.65625
1614648743.452824,118,0.7395833134651184
1614648744.66961,119,0.6666666865348816
1614648745.87655,120,0.7291666865348816
1614648747.078402,121,0.6666666865348816
1614648748.287395,122,0.6458333134651184
1614648749.492922,123,0.7291666865348816
1614648750.7083027,124,0.7291666865348816
1614648751.9343507,125,0.6875
1614648753.163518,126,0.7083333134651184
1614648754.390512,127,0.6875
1614648755.59782,128,0.7395833134651184
1614648756.807485,129,0.6770833134651184
1614648758.022679,130,0.7083333134651184
1614648759.246765,131,0.6979166865348816
1614648760.454153,132,0.7083333134651184
1614648761.675893,133,0.6875
1614648762.898981,134,0.7083333134651184
1614648764.107155,135,0.6979166865348816
1614648765.311194,136,0.6770833134651184
1614648766.5336623,137,0.71875
1614648767.736583,138,0.6770833134651184
1614648768.948619,139,0.6875
1614648770.148879,140,0.6979166865348816
1614648771.350881,141,0.71875
1614648772.549561,142,0.7395833134651184
