Wall time,Step,Value
1612393141.484111,0,3.037693977355957
1612393141.551195,1,1.5815976858139038
1612393141.615405,2,1.3258754014968872
1612393141.679996,3,1.1680988073349
1612393141.748885,4,1.0278794765472412
1612393141.938599,5,0.9737260937690735
1612393142.00595,6,0.8718301653862
1612393142.071074,7,0.9484614729881287
1612393142.135373,8,0.9009266495704651
1612393142.210989,9,0.7769553661346436
1612393142.278079,10,0.6686694025993347
1612393142.342366,11,0.7080432772636414
1612393142.406641,12,0.706397533416748
1612393142.472469,13,0.8135698437690735
1612393142.536103,14,0.6744000911712646
1612393142.597981,15,0.6500996947288513
1612393142.665532,16,0.6846439838409424
1612393142.729101,17,0.6725599765777588
1612393142.795214,18,0.7063018679618835
1612393142.8574383,19,0.631037712097168
1612393142.920999,20,0.5747108459472656
1612393142.988244,21,0.6135297417640686
1612393143.049101,22,0.6194066405296326
1612393143.115255,23,0.7220023274421692
1612393143.177272,24,0.6034289002418518
1612393143.24048,25,0.600999653339386
1612393143.304412,26,0.5956622958183289
1612393143.372868,27,0.5592374801635742
1612393143.436443,28,0.5925736427307129
1612393143.5033762,29,0.5545916557312012
1612393143.5694087,30,0.521747887134552
1612393143.632063,31,0.6523246765136719
1612393143.698448,32,0.6771354675292969
1612393143.765896,33,0.6435814499855042
1612393143.845021,34,0.6120116710662842
1612393143.911941,35,0.590817391872406
1612393143.975103,36,0.5705140233039856
1612393144.034682,37,0.5394314527511597
1612393144.099904,38,0.5023379325866699
1612393144.163381,39,0.45921245217323303
1612393144.226327,40,0.4568059742450714
1612393144.296653,41,0.5184332728385925
1612393144.35901,42,0.5081577301025391
1612393144.420801,43,0.5866042971611023
1612393144.489133,44,0.5212476253509521
1612393144.556054,45,0.46540212631225586
1612393144.620554,46,0.47852179408073425
1612393144.685507,47,0.4549922049045563
1612393144.7510448,48,0.48254966735839844
1612393144.927665,49,0.5119737386703491
1612393144.996449,50,0.4583594799041748
1612393145.060918,51,0.4913235902786255
1612393145.121069,52,0.4605362117290497
1612393145.182455,53,0.4496307373046875
1612393145.246527,54,0.40992364287376404
1612393145.309083,55,0.41644909977912903
1612393145.380832,56,0.46689924597740173
1612393145.447344,57,0.42012056708335876
1612393145.509794,58,0.3901757299900055
1612393145.575997,59,0.4191281795501709
1612393145.636367,60,0.47213998436927795
1612393145.704724,61,0.500262439250946
1612393145.77153,62,0.4831405580043793
1612393145.8481307,63,0.4063100814819336
1612393145.923843,64,0.3968033790588379
1612393145.988377,65,0.4187966287136078
1612393146.053234,66,0.4864892065525055
1612393146.124019,67,0.4437851011753082
1612393146.196733,68,0.432196706533432
1612393146.266143,69,0.465284138917923
1612393146.38114,70,0.41793474555015564
1612393146.471932,71,0.46630629897117615
1612393146.585205,72,0.3997225761413574
1612393146.67723,73,0.3619439899921417
1612393146.750157,74,0.3713686168193817
1612393146.814982,75,0.32590752840042114
1612393146.885047,76,0.43808019161224365
1612393146.949125,77,0.40372225642204285
1612393147.012131,78,0.37137922644615173
1612393147.083214,79,0.37268421053886414
1612393147.144752,80,0.4162980020046234
1612393147.209512,81,0.3512696325778961
1612393147.289594,82,0.37411820888519287
1612393147.359392,83,0.3478459119796753
1612393147.428695,84,0.38817402720451355
1612393147.494761,85,0.3669176995754242
1612393147.559118,86,0.3929189145565033
1612393147.63369,87,0.39396390318870544
1612393147.704332,88,0.39454400539398193
1612393147.765705,89,0.3400120437145233
1612393147.831933,90,0.3418954312801361
1612393147.909574,91,0.4137174189090729
1612393148.077863,92,0.4283847510814667
