Wall time,Step,Value
1615852537.716789,0,0.4166666567325592
1615852538.876958,1,0.375
1615852540.035934,2,0.375
1615852541.187914,3,0.375
1615852542.346542,4,0.375
1615852543.487856,5,0.375
1615852544.645005,6,0.375
1615852545.814197,7,0.375
1615852546.975375,8,0.375
1615852548.137612,9,0.375
1615852549.283396,10,0.375
1615852550.445816,11,0.375
1615852551.608843,12,0.375
1615852552.779136,13,0.375
1615852553.94099,14,0.375
1615852555.113288,15,0.3958333432674408
1615852556.26794,16,0.4791666567325592
1615852557.424822,17,0.5
1615852558.601261,18,0.53125
1615852559.762361,19,0.5729166865348816
1615852560.932566,20,0.4895833432674408
1615852562.1010733,21,0.5208333134651184
1615852563.263073,22,0.53125
1615852564.419186,23,0.4791666567325592
1615852565.582753,24,0.5416666865348816
1615852566.751863,25,0.5625
1615852567.923583,26,0.5625
1615852569.106778,27,0.5416666865348816
1615852570.271025,28,0.5520833134651184
1615852571.431625,29,0.5729166865348816
1615852572.594902,30,0.6145833134651184
1615852573.760727,31,0.6145833134651184
1615852574.92901,32,0.59375
1615852576.099767,33,0.5729166865348816
1615852577.26315,34,0.5625
1615852578.426102,35,0.5625
1615852579.598755,36,0.625
1615852580.775904,37,0.5625
1615852581.951159,38,0.5729166865348816
1615852583.116302,39,0.5833333134651184
1615852584.286174,40,0.6041666865348816
1615852585.445518,41,0.6458333134651184
1615852586.613752,42,0.6145833134651184
1615852587.775991,43,0.5729166865348816
1615852588.95184,44,0.5416666865348816
1615852590.116902,45,0.6354166865348816
1615852591.292311,46,0.59375
1615852592.448889,47,0.5833333134651184
1615852593.61664,48,0.625
1615852594.756528,49,0.59375
1615852595.915211,50,0.6458333134651184
1615852597.087796,51,0.6041666865348816
1615852598.259355,52,0.6458333134651184
1615852599.418759,53,0.6145833134651184
1615852600.587295,54,0.6458333134651184
1615852601.761839,55,0.625
1615852602.920956,56,0.6041666865348816
1615852604.080896,57,0.6145833134651184
1615852605.270901,58,0.6875
1615852606.45013,59,0.6354166865348816
1615852607.617153,60,0.6458333134651184
1615852608.786736,61,0.6041666865348816
1615852609.964545,62,0.6458333134651184
1615852611.129712,63,0.65625
1615852612.297751,64,0.6458333134651184
1615852613.474453,65,0.6458333134651184
1615852614.649897,66,0.6666666865348816
1615852615.823477,67,0.6666666865348816
1615852616.989256,68,0.6354166865348816
1615852618.16494,69,0.6770833134651184
1615852619.33366,70,0.6354166865348816
1615852620.495443,71,0.6458333134651184
1615852621.661302,72,0.65625
1615852622.817888,73,0.59375
1615852623.988525,74,0.6354166865348816
1615852625.153788,75,0.6666666865348816
1615852626.321101,76,0.6354166865348816
1615852627.481588,77,0.65625
1615852628.6396039,78,0.59375
1615852629.805621,79,0.65625
1615852630.986376,80,0.6458333134651184
1615852632.155857,81,0.6666666865348816
1615852633.319904,82,0.6354166865348816
1615852634.497062,83,0.6354166865348816
1615852635.671268,84,0.6458333134651184
1615852636.829203,85,0.6666666865348816
1615852638.025466,86,0.65625
1615852639.201828,87,0.6666666865348816
1615852640.376711,88,0.6770833134651184
1615852641.565445,89,0.625
1615852642.743334,90,0.65625
1615852643.92502,91,0.625
1615852645.104818,92,0.6458333134651184
1615852646.304919,93,0.65625
1615852647.479242,94,0.6666666865348816
1615852648.658735,95,0.6458333134651184
1615852649.829016,96,0.6770833134651184
1615852650.994629,97,0.6666666865348816
1615852652.175016,98,0.65625
1615852653.358121,99,0.6770833134651184
1615852654.530801,100,0.7083333134651184
1615852655.6998148,101,0.6458333134651184
1615852656.888564,102,0.65625
1615852658.068582,103,0.6458333134651184
1615852659.257107,104,0.6666666865348816
1615852660.439519,105,0.65625
1615852661.625269,106,0.6458333134651184
1615852662.791715,107,0.6770833134651184
1615852663.996464,108,0.6458333134651184
1615852665.18261,109,0.6145833134651184
1615852666.3691268,110,0.625
1615852667.548534,111,0.65625
1615852668.720933,112,0.65625
1615852669.90389,113,0.6354166865348816
1615852671.087341,114,0.6458333134651184
1615852672.273866,115,0.6770833134651184
1615852673.45366,116,0.6354166865348816
1615852674.622911,117,0.7083333134651184
1615852675.808592,118,0.65625
1615852676.98302,119,0.6666666865348816
1615852678.1607249,120,0.625
1615852679.332015,121,0.6875
1615852680.508685,122,0.6979166865348816
1615852681.703603,123,0.6770833134651184
1615852682.875784,124,0.6770833134651184
1615852684.055404,125,0.7083333134651184
1615852685.231648,126,0.6666666865348816
1615852686.403836,127,0.6666666865348816
1615852687.579342,128,0.6666666865348816
1615852688.752154,129,0.6875
1615852689.915965,130,0.6770833134651184
1615852691.077403,131,0.6458333134651184
1615852692.244034,132,0.625
1615852693.414028,133,0.6666666865348816
1615852694.594708,134,0.6666666865348816
1615852695.767148,135,0.6666666865348816
1615852696.946168,136,0.6458333134651184
1615852698.115456,137,0.65625
1615852699.276416,138,0.65625
