Wall time,Step,Value
1612224074.918593,0,1.4944034814834595
1612224075.46921,1,1.1471196413040161
1612224076.018308,2,1.3121505975723267
1612224076.571688,3,1.145353078842163
1612224077.121639,4,1.1608744859695435
1612224077.677251,5,1.1342235803604126
1612224078.228731,6,1.1495170593261719
1612224078.78356,7,1.1413496732711792
1612224079.342002,8,1.0983229875564575
1612224079.900612,9,1.0297690629959106
1612224080.444577,10,0.9775857329368591
1612224080.9985,11,1.0516514778137207
1612224081.549061,12,1.020768404006958
1612224082.11152,13,0.9246686100959778
1612224082.662984,14,0.9107388854026794
1612224083.215164,15,0.9648103713989258
1612224083.761942,16,0.9786635041236877
1612224084.327742,17,0.9704813957214355
1612224084.883344,18,0.8749163746833801
1612224085.44315,19,0.9404373168945312
1612224085.999767,20,0.9293217062950134
1612224086.551526,21,0.8713740706443787
1612224087.106422,22,0.8603730797767639
1612224087.665527,23,0.8365845084190369
1612224088.225351,24,0.8570321202278137
1612224088.780506,25,0.8995875716209412
1612224089.329883,26,0.8141055107116699
1612224089.888976,27,0.8298335075378418
1612224090.445977,28,0.8221588730812073
1612224091.004802,29,0.840611457824707
1612224091.555795,30,0.891603946685791
1612224092.104841,31,0.8096773028373718
1612224092.664597,32,0.8450860381126404
1612224093.226503,33,0.8249449729919434
1612224093.901363,34,0.774185836315155
1612224094.464166,35,0.8543363213539124
1612224095.02419,36,0.8369311690330505
1612224095.580553,37,0.8338448405265808
1612224096.135437,38,0.8083152174949646
1612224096.698297,39,0.8440424799919128
1612224097.255493,40,0.8625831007957458
1612224097.816114,41,0.7556752562522888
1612224098.375665,42,0.8154937624931335
1612224098.931321,43,0.7486146092414856
1612224099.487066,44,0.8291016221046448
1612224100.044949,45,0.8605452179908752
1612224100.606887,46,0.8195605874061584
1612224101.168523,47,0.799703061580658
1612224101.722306,48,0.7599215507507324
1612224102.282256,49,0.8233302235603333
1612224102.83911,50,0.7710615992546082
1612224103.400311,51,0.8346250653266907
1612224103.957367,52,0.7229611277580261
1612224104.5206296,53,0.7323682904243469
1612224105.081152,54,0.7922022342681885
1612224105.638151,55,0.73006671667099
1612224106.201026,56,0.7094239592552185
1612224106.761328,57,0.732079029083252
1612224107.32563,58,0.7523185610771179
1612224107.893662,59,0.820676863193512
1612224108.453685,60,0.8464273810386658
1612224109.008685,61,0.7335785031318665
1612224109.5767272,62,0.6859397292137146
1612224110.136529,63,0.7563748359680176
1612224110.694745,64,0.7957849502563477
1612224111.253037,65,0.7154496312141418
1612224111.8210108,66,0.7168056964874268
1612224112.3803403,67,0.7515167593955994
1612224112.9421551,68,0.7285510897636414
1612224113.49432,69,0.6744620203971863
1612224114.05188,70,0.7347242832183838
1612224114.616,71,0.648983359336853
1612224115.165618,72,0.6330359578132629
1612224115.721049,73,0.6629889011383057
1612224116.279802,74,0.7167143821716309
1612224116.83826,75,0.6670396327972412
1612224117.38999,76,0.6257296204566956
1612224117.9597733,77,0.8169403672218323
1612224118.518663,78,0.7741469740867615
1612224119.087983,79,0.6914046406745911
1612224119.638861,80,0.724574625492096
1612224120.193222,81,0.7106096744537354
1612224120.751762,82,0.6511006951332092
1612224121.3090408,83,0.6485058665275574
1612224121.871041,84,0.6754276156425476
1612224122.432616,85,0.6036092638969421
1612224122.991288,86,0.6288343071937561
1612224123.569586,87,0.6382620930671692
1612224124.125755,88,0.6521576046943665
1612224124.687261,89,0.6921616196632385
1612224125.338209,90,0.6134482622146606
1612224125.89662,91,0.6670888066291809
1612224126.450021,92,0.6225695013999939
1612224127.009156,93,0.6040273308753967
1612224127.560079,94,0.6775624752044678
1612224128.116649,95,0.6465139389038086
1612224128.675018,96,0.5994545817375183
1612224129.233121,97,0.6148756146430969
1612224129.791523,98,0.6088999509811401
1612224130.352487,99,0.6422615647315979
1612224130.910887,100,0.6421104073524475
1612224131.468614,101,0.6286610960960388
1612224132.023328,102,0.6461261510848999
1612224132.578615,103,0.6142668724060059
1612224133.139661,104,0.5801637768745422
1612224133.692937,105,0.6721040606498718
1612224134.2520237,106,0.5364673733711243
1612224134.812697,107,0.6065521836280823
1612224135.375075,108,0.6149861216545105
1612224135.9335873,109,0.575206458568573
1612224136.491358,110,0.6444461345672607
1612224137.045977,111,0.5846644043922424
1612224137.604025,112,0.623986005783081
1612224138.160892,113,0.5780441164970398
1612224138.716352,114,0.5875168442726135
1612224139.272317,115,0.5614117383956909
1612224139.836017,116,0.5462296605110168
1612224140.393438,117,0.6862969398498535
1612224140.951972,118,0.7367143630981445
1612224141.514166,119,0.666817843914032
1612224142.070632,120,0.5595818161964417
1612224142.63385,121,0.5596052408218384
1612224143.194343,122,0.5939881801605225
1612224143.753448,123,0.5889793038368225
1612224144.316238,124,0.6125015616416931
1612224144.888589,125,0.5632694363594055
1612224145.445451,126,0.5757957696914673
1612224146.000778,127,0.6115216612815857
1612224146.554898,128,0.6049241423606873
1612224147.113591,129,0.5296053290367126
1612224147.671947,130,0.5554320216178894
1612224148.223254,131,0.6051530241966248
1612224148.77661,132,0.5377246737480164
1612224149.335878,133,0.519714891910553
1612224149.984472,134,0.6713178157806396
1612224150.549694,135,0.571958601474762
1612224151.112377,136,0.515047013759613
1612224151.674545,137,0.5981479287147522
1612224152.232299,138,0.5528017282485962
1612224152.796339,139,0.5437378287315369
1612224153.35845,140,0.547701895236969
1612224153.918309,141,0.5351006388664246
1612224154.476584,142,0.4747482240200043
1612224155.040467,143,0.5832666158676147
1612224155.607569,144,0.5532058477401733
1612224156.17018,145,0.5581931471824646
1612224156.720385,146,0.5671935677528381
1612224157.286744,147,0.5864776968955994
1612224157.846378,148,0.5937761664390564
1612224158.398196,149,0.5548384189605713
1612224158.947665,150,0.5477790236473083
1612224159.516442,151,0.6065249443054199
1612224160.08412,152,0.522347092628479
1612224160.644975,153,0.42638707160949707
1612224161.196778,154,0.5553438663482666
1612224161.761993,155,0.6103370189666748
1612224162.319412,156,0.6135084629058838
1612224162.878265,157,0.5920622944831848
1612224163.44074,158,0.4902639389038086
1612224163.9957561,159,0.6001460552215576
1612224164.555352,160,0.5137825608253479
1612224165.116238,161,0.5641388893127441
1612224165.680491,162,0.5442938208580017
1612224166.239427,163,0.5767551064491272
1612224166.798931,164,0.5322914719581604
1612224167.3611772,165,0.48099175095558167
1612224167.924856,166,0.5305318236351013
1612224168.49336,167,0.6103327870368958
1612224169.055307,168,0.4875737726688385
1612224169.611347,169,0.5006198287010193
1612224170.173444,170,0.5201539993286133
1612224170.73256,171,0.483130544424057
1612224171.308164,172,0.5233045220375061
1612224171.864599,173,0.6600843667984009
1612224172.427728,174,0.5111564993858337
1612224172.982861,175,0.5056195259094238
1612224173.554573,176,0.5914323329925537
1612224174.1185422,177,0.48050355911254883
1612224174.696103,178,0.5419444441795349
1612224175.260051,179,0.5385389924049377
1612224175.828372,180,0.5397968888282776
1612224176.392749,181,0.533527672290802
1612224176.953162,182,0.4755684435367584
1612224177.512523,183,0.50370854139328
1612224178.072105,184,0.5303758382797241
1612224178.630904,185,0.5256197452545166
1612224179.190224,186,0.475088506937027
1612224179.756974,187,0.5889889001846313
1612224180.415078,188,0.5327603816986084
1612224180.975086,189,0.5622664093971252
1612224181.53833,190,0.47966015338897705
1612224182.101787,191,0.49860647320747375
1612224182.662304,192,0.47804251313209534
1612224183.222434,193,0.44940313696861267
1612224183.791646,194,0.5113735795021057
1612224184.354014,195,0.48945245146751404
1612224184.919301,196,0.49090254306793213
1612224185.487181,197,0.5850574374198914
1612224186.0538182,198,0.5740513205528259
1612224186.616092,199,0.5265077352523804
1612224187.181771,200,0.5235903263092041
1612224187.748252,201,0.46061182022094727
1612224188.321734,202,0.5291540026664734
1612224188.884413,203,0.5863088965415955
1612224189.451356,204,0.4980034828186035
1612224190.007825,205,0.4968886375427246
1612224190.563678,206,0.47981715202331543
1612224191.131849,207,0.4889315664768219
1612224191.694451,208,0.4831015169620514
1612224192.255726,209,0.4919241666793823
1612224192.813422,210,0.47095993161201477
1612224193.381466,211,0.42535164952278137
1612224193.948438,212,0.44661131501197815
1612224194.518778,213,0.5029972195625305
1612224195.08347,214,0.4501558542251587
1612224195.648101,215,0.46165773272514343
1612224196.21321,216,0.45990443229675293
1612224196.785838,217,0.40956950187683105
1612224197.348623,218,0.43166008591651917
1612224197.9142992,219,0.571620523929596
1612224198.477497,220,0.47405871748924255
1612224199.048258,221,0.4765474796295166
1612224199.607837,222,0.46370911598205566
1612224200.164672,223,0.534881055355072
1612224200.72318,224,0.4859716594219208
1612224201.284621,225,0.5114571452140808
1612224201.848143,226,0.4678279161453247
1612224202.414948,227,0.46460244059562683
1612224202.971968,228,0.46099743247032166
1612224203.532772,229,0.4541788101196289
1612224204.094666,230,0.41470101475715637
1612224204.665335,231,0.500073254108429
1612224205.230515,232,0.450568825006485
1612224205.8846517,233,0.5903865694999695
1612224206.452869,234,0.4690122604370117
1612224207.014042,235,0.4765882194042206
1612224207.580072,236,0.4691634178161621
1612224208.144385,237,0.46522167325019836
1612224208.708964,238,0.4090532064437866
1612224209.277949,239,0.43346771597862244
1612224209.846254,240,0.42420968413352966
1612224210.409873,241,0.4664520025253296
1612224210.975945,242,0.4787199795246124
1612224211.556214,243,0.4059859812259674
1612224212.120202,244,0.5023086667060852
1612224212.69265,245,0.4137548506259918
1612224213.256821,246,0.4676612913608551
1612224213.831444,247,0.4654073715209961
1612224214.391465,248,0.5130728483200073
1612224214.954793,249,0.4634741246700287
1612224215.514588,250,0.43566572666168213
1612224216.074354,251,0.4447234570980072
1612224216.643085,252,0.4442765712738037
1612224217.203021,253,0.47337606549263
1612224217.769363,254,0.5635757446289062
1612224218.3303528,255,0.4877753257751465
1612224218.896035,256,0.4956371784210205
1612224219.46093,257,0.453056663274765
1612224220.029366,258,0.4708598554134369
1612224220.595746,259,0.4295141398906708
1612224221.161136,260,0.45991793274879456
1612224221.725746,261,0.4352699816226959
1612224222.2921898,262,0.43460068106651306
1612224222.854659,263,0.37323713302612305
1612224223.416775,264,0.4683217704296112
1612224223.990093,265,0.4336092472076416
1612224224.559883,266,0.4601891040802002
1612224225.1349068,267,0.4549115002155304
1612224225.699591,268,0.3954232633113861
1612224226.260699,269,0.41564884781837463
