Wall time,Step,Value
1615923502.672928,0,0.34375
1615923503.424313,1,0.3645833432674408
1615923504.153997,2,0.3645833432674408
1615923504.8822463,3,0.3645833432674408
1615923505.613131,4,0.3645833432674408
1615923506.3456142,5,0.3645833432674408
1615923507.063032,6,0.3645833432674408
1615923507.795798,7,0.3645833432674408
1615923508.53012,8,0.375
1615923509.266143,9,0.3645833432674408
1615923510.004243,10,0.3645833432674408
1615923510.73498,11,0.3645833432674408
1615923511.464213,12,0.3645833432674408
1615923512.197529,13,0.3645833432674408
1615923512.933062,14,0.3645833432674408
1615923513.670485,15,0.3645833432674408
1615923514.393312,16,0.4270833432674408
1615923515.132634,17,0.4895833432674408
1615923515.85011,18,0.5
1615923516.571681,19,0.4791666567325592
1615923517.300482,20,0.5
1615923518.040342,21,0.53125
1615923518.769644,22,0.5416666865348816
1615923519.498307,23,0.5416666865348816
1615923520.251645,24,0.59375
1615923520.987021,25,0.4895833432674408
1615923521.725317,26,0.53125
1615923522.475928,27,0.6145833134651184
1615923523.216274,28,0.6041666865348816
1615923523.942049,29,0.59375
1615923524.683658,30,0.4895833432674408
1615923525.439055,31,0.59375
1615923526.182446,32,0.5625
1615923526.920432,33,0.59375
1615923527.6642277,34,0.6458333134651184
1615923528.40328,35,0.6041666865348816
1615923529.130859,36,0.6354166865348816
1615923529.869556,37,0.6041666865348816
1615923530.603098,38,0.6458333134651184
1615923531.337204,39,0.65625
1615923532.077712,40,0.6666666865348816
1615923532.814719,41,0.6458333134651184
1615923533.585351,42,0.6145833134651184
1615923534.318963,43,0.65625
1615923535.047611,44,0.6666666865348816
1615923535.790272,45,0.6145833134651184
1615923536.533929,46,0.6875
1615923537.270798,47,0.65625
1615923538.027962,48,0.6458333134651184
1615923538.766335,49,0.6145833134651184
1615923539.515035,50,0.6770833134651184
1615923540.25939,51,0.625
1615923541.001938,52,0.6666666865348816
1615923541.748889,53,0.6145833134651184
1615923542.47438,54,0.6458333134651184
1615923543.207065,55,0.65625
1615923543.933996,56,0.6875
1615923544.664834,57,0.6875
1615923545.39882,58,0.6458333134651184
1615923546.144841,59,0.6770833134651184
1615923546.870774,60,0.65625
1615923547.613393,61,0.6354166865348816
1615923548.355131,62,0.6666666865348816
1615923549.110364,63,0.6666666865348816
1615923549.852702,64,0.6666666865348816
1615923550.605426,65,0.65625
1615923551.345214,66,0.6666666865348816
1615923552.08738,67,0.7083333134651184
1615923552.824265,68,0.6666666865348816
1615923553.571819,69,0.6875
